Cadena,Unidad de Negocio,Descripción Producto,Cód. Interno,Cód. Cadena,costo_Fabricación,Precio_Venta_Distribuidor,Mg_Declarado,Un_Semana_1 ,Un_Semana_2,Un_Semana_3,Un_Semana_4,Un_Semana_5,Un_Semana_6,Un_Semana_7,Un_Semana_8,Un_Semana_9,Un_Semana_10,Un_Semana_11,Un_Semana_12,Un_Semana_13,Un_Semana_14,Un_Semana_15,Un_Semana_16,Un_Semana_17,Un_Semana_18,Un_Semana_19,Un_Semana_20,Un_Semana_21,Un_Semana_22,Un_Semana_23,Un_Semana_24,Un_Semana_25,Un_Semana_26,Un_Semana_27,Un_Semana_28,Un_Semana_29,Un_Semana_30,Venta_Retail_sem_1 ,Venta_Retail_sem_2,Venta_Retail_sem_3,Venta_Retail_sem_4,Venta_Retail_sem_5,Venta_Retail_sem_6,Venta_Retail_sem_7,Venta_Retail_sem_8,Venta_Retail_sem_9,Venta_Retail_sem_10,Venta_Retail_sem_11,Venta_Retail_sem_12,Venta_Retail_sem_13,Venta_Retail_sem_14,Venta_Retail_sem_15,Venta_Retail_sem_16,Venta_Retail_sem_17,Venta_Retail_sem_18,Venta_Retail_sem_19,Venta_Retail_sem_20,Venta_Retail_sem_21,Venta_Retail_sem_22,Venta_Retail_sem_23,Venta_Retail_sem_24,Venta_Retail_sem_25,Venta_Retail_sem_26,Venta_Retail_sem_27,Venta_Retail_sem_28,Venta_Retail_sem_29,Venta_Retail_sem_30,Con_sem_1,Con_sem_2,Con_sem_3,Con_sem_4,Con_sem_5,Con_sem_6,Con_sem_7,Con_sem_8,Con_sem_9,Con_sem_10,Con_sem_11,Con_sem_12,Con_sem_13,Con_sem_14,Con_sem_15,Con_sem_16,Con_sem_17,Con_sem_18,Con_sem_19,Con_sem_20,Con_sem_21,Con_sem_22,Con_sem_23,Con_sem_24,Con_sem_25,Con_sem_26,Con_sem_27,Con_sem_28,Con_sem_29,Con_sem_30
Hites,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,920577001,170277.88999999998,244026.21848739497,0.30221477407028874,2,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,557980,0,0,0,0,0,0,0,0,279990,0,559980,0,349990,0,0,0,649980,0,0,0,0,0,0,0,0,0,279990,0,0,76756.993109243747,0,0,0,0,0,0,0,0,39126.395714285725,0,78252.791428571451,0,91479.336890756356,0,0,0,145563.71579831943,0,0,0,0,0,0,0,0,0,39126.395714285725,0,0
Falabella,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,8117950,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,329990,0,0,0,0,0,0,0,0,0,0,0,0,329990,0,0,0,0,0,309990,0,0,0,0,0,0,0,0,0,0,76521.353697479033,0,0,0,0,0,0,0,0,0,0,0,0,76521.353697479033,0,0,0,0,0,61563.37050420171,0,0,0,0,0
La Polar,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,26946255,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,278990.74,0,0,0,0,0,0,0,0,0,314463.45,0,299989.48,0,0,0,588980.98,0,0,0,0,0,0,0,0,0,0,0,0,0,38379.050000000017,0,0,0,0,0,0,0,0,0,64909.060000000027,0,54083.99000000002,0,0,0,99942.600000000035,0,0,0,0
Ripley,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,39761765,170277.88999999998,244026.21848739497,0.30221477407028874,1,1,0,0,1,3,1,1,1,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,3,2,1,0,0,0,281017.31,290495.65999999997,0,0,286228.32,872914.98,299989.48,329990.57,281462.37,309990.24,0,0,0,0,0,0,349989.71,0,639979.62,0,0,0,0,0,915683.58,619979.29,300941.48,0,0,0,39894.72000000003,46983.570000000007,0,0,43792.030000000057,142018.71000000008,54083.99000000002,76521.780000000028,40227.580000000016,61563.550000000017,0,0,0,0,0,0,91479.120000000083,0,138084.44000000006,0,0,0,0,0,174005.31000000006,123126.21000000008,54795.99000000002,0,0,0
Walmart,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,5026614,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,511688.1,0,0,0,361748.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212413.21,0,0,0,100273.20999999999,0,0,0,0,0
Easy,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,1401316,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319989.81,0,0,0,309990.24,0,0,0,269990.77,0,0,0,0,0,0,329990.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69042.22000000003,0,0,0,61563.550000000017,0,0,0,31647.98000000004,0,0,0,0,0,0,76521.780000000028,0,0,0,0,0,0,0,0,0,0,0
Abcdin,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,26946255,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309990.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61563.550000000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sodimac,Colchones,Cama Europea Anatomic 2 Pza Bd,780642762082-0,7417764,170277.88999999998,244026.21848739497,0.30221477407028874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21404.177226890781,0,0,0,0,0,0,0
La Polar,Colchones,CAMA EUROPEA ORTOPEDIC 2P BN RESPALDO VILLARRICA GRIS,780642774468-7,27729533,156817.01999999999,244026.21848739497,0.35737634680389774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,369990.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119898.22,0,0,0,0,0,0,0,0
Walmart,Colchones,CAMA EUROPEA ORTOPEDIC 2P BN RESPALDO VILLARRICA GRIS,780642774468-7,5031307,156817.01999999999,244026.21848739497,0.35737634680389774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,349848.1,0,0,353418.1,353418.1,353418.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104834.08000000002,0,0,107504.07999999999,107504.07999999999,107504.07999999999,0
